role,name,damage_per_bullet,bullets_per_shot,fire_rate,reload_time,ammo,armor_piercing,health,shields,armor
Tank,D.Va,2,11,6.67,0,,True,225,0,325
Tank,Doomfist,5,11,3,0.4,4,True,375,0,0
Tank,Hazard,7.5,10,1.75,2.3,8,True,275,0,225
Tank,Junker Queen,8,10,1.33,1.5,8,True,375,0,0
Tank,Mauga,4,1,18,2.2,300,True,425,0,150
Tank,Orisa,14,1,10,3,,True,150,0,300
Tank,Ramattra,5,1,25,1,100,True,250,0,100
Tank,Reinhardt,100,1,1.04,0,,True,250,0,300
Tank,Roadhog,6.5,25,1.25,1.5,6,True,600,0,0
Tank,Sigma,15,2,0.67,0,,True,200,275,0
Tank,Winston,70,1,1,1.7,120,True,275,0,200
Tank,Wrecking Ball,5,1,25,1.6,80,True,300,150,175
Tank,Zarya,95,1,1,1.5,100,True,175,225,0
Damage,Ashe,35,1,3.9,0.5,12,True,250,0,0
Damage,Bastion,25,1,5,1.2,25,True,250,0,100
Damage,Cassidy,70,1,2,1.5,6,True,250,0,0
Damage,Echo,17,3,2.97,1.5,12,True,150,75,0
Damage,Freja,25,1,4.81,1.6,15,True,225,0,0
Damage,Genji,27,3,1.14,1.5,24,True,250,0,0
Damage,Hanzo,125,1,2,0,,True,250,0,0
Damage,Junkrat,45,1,1.5,1.5,5,True,250,0,0
Damage,Mei,5,1,20,1.5,140,True,300,0,0
Damage,Pharah,40,1,1.25,1.5,6,True,225,0,0
Damage,Reaper,5.75,20,2,1.5,8,True,300,0,0
Damage,Sojourn,9,1,16,1.2,45,True,225,0,0
Damage,Soldier: 76,19,1,9,1.5,30,True,250,0,0
Damage,Sombra,8,1,20,1.2,60,True,225,0,0
Damage,Symmetra,60,1,1,1.5,100,True,125,150,0
Damage,Torbjörn,70,1,1.96,2,18,True,225,0,75
Damage,Tracer,6,2,20,1,40,True,175,0,0
Damage,Venture,35,1,1.67,1.75,8,True,250,0,0
Damage,Widowmaker,14,1,10,1.5,35,True,225,0,0
Support,Ana,75,1,1.25,1.5,15,True,250,0,0
Support,Baptiste,25,3,1.7,1.5,36,True,250,0,0
Support,Brigitte,45,1,1.667,0,,True,200,0,50
Support,Illari,70,1,2,1.5,14,True,250,0,0
Support,Juno,7.5,12,1.29,1.5,180,True,75,150,0
Support,Kiriko,60,1,2,1,15,True,225,0,0
Support,Lifeweaver,6,2,11,1.5,100,True,200,50,0
Support,Lúcio,20,4,1.07,1.5,20,True,225,0,0
Support,Mercy,20,1,5,1.4,25,True,225,0,0
Support,Moira,65,1,1,0,,True,225,0,0
Support,Wuyang,10,1,3,1.5,20,True,225,0,0
Support,Zenyatta,50,1,2.5,1.5,25,True,75,175,0
